Hospital,Stage,Year,Births,Deaths,Rate,Notes
Vienna General,Before pathological anatomy,1784,284,6,2.1,No pathological anatomy 
Vienna General,Before pathological anatomy,1785,899,13,1.4,
Vienna General,Before pathological anatomy,1786,1151,5,0.4,
Vienna General,Before pathological anatomy,1787,1407,5,0.4,
Vienna General,Before pathological anatomy,1788,1425,5,0.4,
Vienna General,Before pathological anatomy,1789,1246,7,0.6,
Vienna General,Before pathological anatomy,1790,1326,10,0.8,
Vienna General,Before pathological anatomy,1791,1395,8,0.6,
Vienna General,Before pathological anatomy,1792,1579,14,0.9,
Vienna General,Before pathological anatomy,1793,1684,44,2.6,
Vienna General,Before pathological anatomy,1794,1768,7,0.4,
Vienna General,Before pathological anatomy,1795,1798,38,2.1,
Vienna General,Before pathological anatomy,1796,1904,22,1.2,
Vienna General,Before pathological anatomy,1797,2012,5,0.2,
Vienna General,Before pathological anatomy,1798,2046,5,0.2,
Vienna General,Before pathological anatomy,1799,2067,20,1.0,
Vienna General,Before pathological anatomy,1800,2070,41,2.0,
Vienna General,Before pathological anatomy,1801,2106,17,0.8,
Vienna General,Before pathological anatomy,1802,2346,9,0.4,
Vienna General,Before pathological anatomy,1803,2215,16,0.7,
Vienna General,Before pathological anatomy,1804,2022,8,0.4,
Vienna General,Before pathological anatomy,1805,2112,9,0.4,
Vienna General,Before pathological anatomy,1806,1875,13,0.7,
Vienna General,Before pathological anatomy,1807,925,6,0.6,
Vienna General,Before pathological anatomy,1808,855,7,0.8,
Vienna General,Before pathological anatomy,1809,912,13,1.4,
Vienna General,Before pathological anatomy,1810,744,6,0.8,
Vienna General,Before pathological anatomy,1811,1050,20,1.9,
Vienna General,Before pathological anatomy,1812,1419,9,0.6,
Vienna General,Before pathological anatomy,1813,1945,21,1.1,
Vienna General,Before pathological anatomy,1814,2062,66,3.2,
Vienna General,Before pathological anatomy,1815,2591,19,0.7,
Vienna General,Before pathological anatomy,1816,2410,12,0.5,
Vienna General,Before pathological anatomy,1817,2735,25,0.9,
Vienna General,Before pathological anatomy,1818,2568,56,2.2,
Vienna General,Before pathological anatomy,1819,3089,154,5.0,
Vienna General,Before pathological anatomy,1820,2998,75,2.5,
Vienna General,Before pathological anatomy,1821,3294,55,1.7,
Vienna General,Before pathological anatomy,1822,3066,26,0.8,
Vienna General,After pathological anatomy,1823,2872,214,7.5,Pathological anatomy begins
Vienna General,After pathological anatomy,1824,2911,144,4.9,
Vienna General,After pathological anatomy,1825,2594,229,8.8,
Vienna General,After pathological anatomy,1826,2359,192,8.1,
Vienna General,After pathological anatomy,1827,2367,51,2.2,
Vienna General,After pathological anatomy,1828,2833,101,3.6,
Vienna General,After pathological anatomy,1829,3012,140,4.6,
Vienna General,After pathological anatomy,1830,2797,111,4.0,
Vienna General,After pathological anatomy,1831,3353,222,6.6,
Vienna General,After pathological anatomy,1832,3331,105,3.2,
Vienna General,Males and femail in both clinics,1833,3737,197,5.3,Separation of clinics
Vienna General,Males and femail in both clinics,1834,2657,205,7.7,
Vienna General,Males and femail in both clinics,1835,2573,143,5.6,
Vienna General,Males and femail in both clinics,1836,2677,200,7.5,
Vienna General,Males and femail in both clinics,1837,2765,251,9.1,
Vienna General,Males and femail in both clinics,1838,2987,91,3.0,
Vienna General,Males and femail in both clinics,1839,2781,151,5.4,
Vienna General,Males and femail in both clinics,1840,2889,267,9.2,
Vienna General,Males in first clinic only,1841,3036,237,7.8,
Vienna General,Males in first clinic only,1842,3287,518,15.8,
Vienna General,Males in first clinic only,1843,3060,274,9.0,
Vienna General,Males in first clinic only,1844,3157,260,8.2,
Vienna General,Males in first clinic only,1845,3492,241,6.9,
Vienna General,Males in first clinic only,1846,4010,459,11.4,
Vienna General,Hand washing in physicians' clinic,1847,3490,176,5.0,Chlorine washings begin in mid-May
Vienna General,Hand washing in physicians' clinic,1848,3556,45,1.3,
Vienna General,Hand washing in physicians' clinic,1849,3858,103,2.7,Semmelweis dismissed from Vienna in March