Date,Month,Name of Month,Day of Month,DayNumber,Day of week,Add Count,Add Amount
04/01,04,Apr,01,1,Monday,3271,2278838
04/02,04,Apr,02,2,Tuesday,2977,2015992
04/03,04,Apr,03,3,Wednesday,2971,2019640
04/04,04,Apr,04,4,Thursday,9165,10162587
04/05,04,Apr,05,5,Friday,2953,2258581
04/06,04,Apr,06,6,Saturday,598,504201
04/07,04,Apr,07,7,Sunday,460,248527
04/08,04,Apr,08,8,Monday,3092,2079823
04/09,04,Apr,09,9,Tuesday,3061,2092560
04/10,04,Apr,10,10,Wednesday,2922,1931365
04/11,04,Apr,11,11,Thursday,2903,2071555
04/12,04,Apr,12,12,Friday,2800,2005229
04/13,04,Apr,13,13,Saturday,496,290529
04/14,04,Apr,14,14,Sunday,468,275557
04/15,04,Apr,15,15,Monday,3041,2307991
04/16,04,Apr,16,16,Tuesday,3013,2059196
04/17,04,Apr,17,17,Wednesday,2898,1966907
04/18,04,Apr,18,18,Thursday,2649,1867044
04/19,04,Apr,19,19,Friday,2732,1961529
04/20,04,Apr,20,20,Saturday,550,305558
04/21,04,Apr,21,21,Sunday,396,347177
04/22,04,Apr,22,22,Monday,2296,1447263
04/23,04,Apr,23,23,Tuesday,2699,1886422
04/24,04,Apr,24,24,Wednesday,2790,2077623
04/25,04,Apr,25,25,Thursday,2745,1981068
04/26,04,Apr,26,26,Friday,2753,1943759
04/27,04,Apr,27,27,Saturday,532,246921
04/28,04,Apr,28,28,Sunday,442,339503
04/29,04,Apr,29,29,Monday,3029,2128729
04/30,04,Apr,30,30,Tuesday,2879,2004391
05/01,05,May,01,31,Saturday,3030,2055202
05/02,05,May,02,32,Sunday,2869,2139435
05/03,05,May,03,33,Monday,2985,2312665
05/04,05,May,04,34,Tuesday,6866,7340030
05/05,05,May,05,35,Wednesday,405,207576
05/06,05,May,06,36,Thursday,3031,2245157
05/07,05,May,07,37,Friday,2954,1968993
05/08,05,May,08,38,Saturday,3002,2026546
05/09,05,May,09,39,Sunday,2827,2087703
05/10,05,May,10,40,Monday,2870,2183614
05/11,05,May,11,41,Tuesday,523,334380
05/12,05,May,12,42,Wednesday,392,157895
05/13,05,May,13,43,Thursday,3116,2171624
05/14,05,May,14,44,Friday,2934,1858925
05/15,05,May,15,45,Saturday,2801,1788258
05/16,05,May,16,46,Sunday,2792,1882070
05/17,05,May,17,47,Monday,2707,1822472
05/18,05,May,18,48,Tuesday,529,156055
05/19,05,May,19,49,Wednesday,456,134520
05/20,05,May,20,50,Thursday,508,149860
05/21,05,May,21,51,Friday,493,145435
05/22,05,May,22,52,Saturday,197,58115
05/23,05,May,23,53,Sunday,208,61360
05/24,05,May,24,54,Monday,400,118000
05/25,05,May,25,55,Tuesday,658,194110
05/26,05,May,26,56,Wednesday,531,156645
05/27,05,May,27,57,Thursday,459,135405
05/28,05,May,28,58,Friday,406,119770
05/29,05,May,29,59,Saturday,221,65195
05/30,05,May,30,60,Sunday,241,71095
05/31,05,May,31,61,Monday,470,138650
06/01,06,Jun,01,62,Tuesday,659,194405
06/02,06,Jun,02,63,Wednesday,774,228330
06/03,06,Jun,03,64,Thursday,689,203255
06/04,06,Jun,04,65,Friday,3417,1008015
06/05,06,Jun,05,66,Saturday,292,86140
06/06,06,Jun,06,67,Sunday,219,64605
06/07,06,Jun,07,68,Monday,710,209450
06/08,06,Jun,08,69,Tuesday,558,164610
06/09,06,Jun,09,70,Wednesday,685,202075
06/10,06,Jun,10,71,Thursday,646,190570
06/11,06,Jun,11,72,Friday,765,225675
06/12,06,Jun,12,73,Saturday,289,85255
06/13,06,Jun,13,74,Sunday,213,62835
06/14,06,Jun,14,75,Monday,769,226855
06/15,06,Jun,15,76,Tuesday,607,179065
06/16,06,Jun,16,77,Wednesday,492,145140
06/17,06,Jun,17,78,Thursday,764,225380
06/18,06,Jun,18,79,Friday,515,151925
06/19,06,Jun,19,80,Saturday,198,58410
06/20,06,Jun,20,81,Sunday,266,78470
06/21,06,Jun,21,82,Monday,700,206500
06/22,06,Jun,22,83,Tuesday,780,230100
06/23,06,Jun,23,84,Wednesday,559,164905
06/24,06,Jun,24,85,Thursday,772,227740
06/25,06,Jun,25,86,Friday,421,124195
06/26,06,Jun,26,87,Saturday,247,72865
06/27,06,Jun,27,88,Sunday,296,87320
06/28,06,Jun,28,89,Monday,601,177295
06/29,06,Jun,29,90,Tuesday,518,152810
06/30,06,Jun,30,91,Wednesday,487,143665