State,Abbreviation,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Alabama,AL,75,80,86,89,87,89,90,92,91,91,88
Alaska,AK,70,72,71,76,76,78,79,80,79,78,78
Arizona,AZ,76,75,76,77,80,78,79,78,77,76,77
Arkansas,AR,84,85,87,85,87,88,89,88,89,88,88
California,CA,79,80,81,82,83,83,83,85,84,84,87
Colorado,CO,75,77,77,77,79,79,81,81,82,82,82
Connecticut,CT,85,86,87,87,87,88,88,89,88,90,89
Delaware,DE,80,80,87,86,86,87,87,89,89,81,88
District of Columbia,DC,59,62,61,69,69,73,69,69,73,75,76
Florida,FL,75,76,76,78,81,82,86,87,90,90,87
Georgia,GA,70,72,73,79,79,81,82,82,84,84,84
Hawaii,HI,81,82,82,82,83,83,85,85,86,86,86
Idaho,ID,,,77,79,80,80,81,81,82,80,80
Illinois,IL,82,83,86,86,86,87,87,86,,,87
Indiana,IN,86,87,88,87,87,84,88,87,91,88,88
Iowa,IA,89,90,91,91,91,91,91,92,92,90,90
Kansas,KS,85,86,86,86,86,87,87,87,88,88,89
Kentucky,KY,,86,88,88,89,90,90,91,91,90,90
Louisiana,LA,72,74,75,78,79,78,81,80,83,82,83
Maine,ME,85,86,87,88,87,87,87,87,87,86,86
Maryland,MD,84,85,86,87,88,88,87,87,87,87,86
Massachusetts,MA,85,85,86,87,88,88,88,88,89,90,90
Michigan,MI,76,77,79,80,80,80,81,81,82,81,81
Minnesota,MN,78,80,81,82,82,83,83,84,84,83,84
Mississippi,MS,75,76,78,81,82,83,84,85,88,88,89
Missouri,MO,84,86,87,88,89,88,89,90,90,89,90
Montana,MT,84,84,85,86,86,86,86,87,86,86,86
Nebraska,NE,88,89,90,89,89,89,89,88,88,88,87
Nevada,NV,63,71,70,71,74,81,83,84,83,81,82
New Hampshire,NH,86,87,88,88,88,89,89,88,88,87,88
New Jersey,NJ,86,88,89,90,90,91,91,91,91,89,85
New Mexico,NM,70,70,69,69,71,71,74,75,77,77,
New York,NY,77,77,78,79,80,82,82,83,84,85,87
North Carolina,NC,80,83,84,86,86,87,86,87,88,87,86
North Dakota,ND,87,88,87,87,88,87,88,88,89,87,85
Ohio,OH,81,82,82,81,84,84,82,82,84,85,86
Oklahoma,OK,,85,83,83,82,83,82,85,81,80,
Oregon,OR,68,69,72,74,75,77,79,80,83,81,81
Pennsylvania,PA,84,86,85,85,86,87,86,87,87,87,87
Rhode Island,RI,77,80,81,83,83,84,84,84,84,84,83
South Carolina,SC,75,78,80,80,83,84,81,81,82,83,84
South Dakota,SD,83,83,83,84,84,84,84,84,84,83,82
Tennessee,TN,87,86,87,88,89,90,90,91,90,89,90
Texas,TX,88,88,88,89,89,90,90,90,,90,90
Utah,UT,80,83,84,85,85,86,87,87,88,88,88
Vermont,VT,88,87,88,88,88,89,85,85,83,83,83
Virginia,VA,83,85,85,86,87,87,88,88,89,90,89
Washington,WA,77,76,78,78,80,79,87,81,83,,84
West Virginia,WV,79,81,85,87,90,89,90,91,92,91,91
Wisconsin,WI,88,88,89,88,88,89,90,90,90,90,90
Wyoming,WY,79,77,79,79,80,86,82,82,82,83,82
Bureau of Indian Education ,BIE,,,,,,,,,65,,75
Puerto Rico,PR,,,,,,,74,77,78,76,74